#   X     Y     Z      S       D
   119   193   125  4.9754  1.7015
   120   193   125  4.9640  1.6952
   119   194   125  4.9578  1.6918
   120   194   125  4.9418  1.6831
   118   193   125  4.9404  1.6823
   119   192   125  4.9360  1.6799
   120   192   125  4.9279  1.6755
   118   194   125  4.9266  1.6747
   118   192   125  4.8988  1.6596
   119   194   126  4.7642  1.5852
   119   193   126  4.7565  1.5812
   118   194   126  4.7494  1.5775
   120   194   126  4.7418  1.5735
   120   193   126  4.7395  1.5723
   118   193   126  4.7370  1.5710
   119   192   126  4.7010  1.5522
   120   192   126  4.6892  1.5461
   118   192   126  4.6767  1.5396
   120   193   124  4.6144  1.5118
   120   192   124  4.6065  1.5077
   120   194   124  4.5750  1.4916
   119   193   124  4.5479  1.4779
   119   192   124  4.5395  1.4736
   119   194   124  4.5131  1.4603
   118   193   124  4.4405  1.4241
   118   192   124  4.4295  1.4187
   118   194   124  4.4126  1.4103
   121   193   125  4.9005  1.6605
   119   195   125  4.8800  1.6494
   121   194   125  4.8735  1.6459
   121   192   125  4.8690  1.6435
   117   193   125  4.8659  1.6418
   120   195   125  4.8594  1.6383
   117   194   125  4.8548  1.6358
   118   195   125  4.8532  1.6350
   119   191   125  4.8448  1.6304
   120   191   125  4.8385  1.6271
   117   192   125  4.8235  1.6190
   118   191   125  4.8075  1.6105
   121   195   125  4.7870  1.5996
   117   195   125  4.7853  1.5987
   121   191   125  4.7832  1.5976
   117   191   125  4.7334  1.5713
   119   195   126  4.7234  1.5639
   118   195   126  4.7130  1.5584
   117   194   126  4.7061  1.5548
   120   195   126  4.6959  1.5495
   117   193   126  4.6892  1.5460
   121   193   126  4.6782  1.5403
   121   194   126  4.6740  1.5382
   117   195   126  4.6736  1.5379
   121   192   126  4.6340  1.5175
   121   193   124  4.6251  1.5173
   117   192   126  4.6241  1.5125
   121   195   126  4.6220  1.5114
   121   192   124  4.6169  1.5131
   119   191   126  4.5973  1.4988
   120   191   126  4.5903  1.4952
   121   194   124  4.5824  1.4954
   118   191   126  4.5685  1.4842
   121   191   124  4.5567  1.4823
   120   191   124  4.5489  1.4784
   121   191   126  4.5406  1.4701
   117   191   126  4.5111  1.4553
   121   195   124  4.4917  1.4496
   120   195   124  4.4915  1.4495
   119   191   124  4.4845  1.4460
   119   195   124  4.4388  1.4233
   118   191   124  4.3750  1.3919
   119   192   127  4.3630  1.3803
   118   192   127  4.3547  1.3763
   119   191   127  4.3528  1.3754
   118   195   124  4.3497  1.3796
   120   192   127  4.3481  1.3731
   118   191   127  4.3437  1.3710
   119   193   127  4.3407  1.3695
   120   191   127  4.3378  1.3681
   118   193   127  4.3339  1.3663
   117   192   127  4.3280  1.3634
   120   193   127  4.3252  1.3621
   117   191   127  4.3143  1.3569
   117   193   127  4.3105  1.3550
   117   193   124  4.3096  1.3601
   121   192   127  4.3043  1.3520
   121   191   127  4.2945  1.3473
   117   192   124  4.2927  1.3520
   117   194   124  4.2910  1.3512
   119   194   127  4.2878  1.3441
   118   194   127  4.2827  1.3417
   121   193   127  4.2807  1.3408
   120   194   127  4.2715  1.3364
   117   194   127  4.2627  1.3322
   117   195   124  4.2409  1.3273
   117   191   124  4.2357  1.3248
