#   X     Y     Z      S       D
   171   288   150  3.9446  1.1533
   171   287   150  3.9438  1.1530
   172   288   150  3.9347  1.1491
   170   287   150  3.9343  1.1489
   172   287   150  3.9215  1.1434
   170   288   150  3.9215  1.1434
   172   289   150  3.9014  1.1348
   171   289   150  3.8961  1.1326
   170   287   149  3.8935  1.1327
   171   287   149  3.8902  1.1313
   172   287   149  3.8722  1.1236
   170   289   150  3.8562  1.1157
   171   288   149  3.8512  1.1147
   170   288   149  3.8440  1.1117
   172   288   149  3.8404  1.1102
   172   289   149  3.7691  1.0803
   171   289   149  3.7677  1.0797
   170   289   149  3.7444  1.0701
   171   288   151  3.6422  1.0261
   172   288   151  3.6257  1.0194
   170   288   151  3.6208  1.0175
   171   289   151  3.6177  1.0162
   171   287   151  3.6174  1.0161
   172   289   151  3.6096  1.0130
   170   287   151  3.6063  1.0117
   172   287   151  3.5940  1.0067
   170   289   151  3.5849  1.0031
   170   286   150  3.8987  1.1337
   171   286   150  3.8973  1.1331
   170   286   149  3.8950  1.1333
   169   287   150  3.8928  1.1311
   169   286   149  3.8914  1.1318
   173   288   150  3.8871  1.1287
   171   286   149  3.8870  1.1299
   169   287   149  3.8830  1.1282
   169   286   150  3.8683  1.1208
   173   289   150  3.8666  1.1200
   172   286   149  3.8666  1.1212
   169   288   150  3.8658  1.1197
   172   286   150  3.8652  1.1195
   173   287   150  3.8637  1.1188
   173   287   149  3.8347  1.1078
   173   286   149  3.8291  1.1054
   169   288   149  3.8202  1.1017
   172   290   150  3.8180  1.0996
   173   288   149  3.8067  1.0960
   173   286   150  3.7997  1.0919
   173   290   150  3.7986  1.0914
   171   290   150  3.7948  1.0899
   169   289   150  3.7836  1.0852
   173   289   149  3.7432  1.0696
   170   290   150  3.7357  1.0654
   169   289   149  3.7015  1.0524
   172   290   149  3.6526  1.0325
   169   290   150  3.6440  1.0279
   173   290   149  3.6388  1.0269
   171   290   149  3.6347  1.0252
   170   290   149  3.5910  1.0076
   173   288   151  3.5669  0.9959
   169   288   151  3.5657  0.9955
   169   287   151  3.5639  0.9947
   173   289   151  3.5557  0.9915
   171   286   151  3.5533  0.9905
   170   286   151  3.5507  0.9895
   172   290   151  3.5360  0.9837
   171   290   151  3.5348  0.9832
   173   287   151  3.5327  0.9824
   172   286   151  3.5252  0.9794
   169   290   149  3.5251  0.9814
   169   286   151  3.5192  0.9770
   169   289   151  3.5167  0.9760
   172   286   152  3.5125  0.9734
   171   286   152  3.5116  0.9730
   173   286   152  3.4953  0.9666
   170   286   152  3.4945  0.9663
   171   287   152  3.4937  0.9660
   172   287   152  3.4936  0.9660
   170   290   151  3.4910  0.9659
   173   290   151  3.4890  0.9651
   170   287   152  3.4741  0.9584
   173   287   152  3.4724  0.9577
   173   286   151  3.4639  0.9553
   169   286   152  3.4609  0.9532
   172   288   152  3.4473  0.9479
   171   288   152  3.4460  0.9474
   169   287   152  3.4342  0.9428
   173   288   152  3.4240  0.9389
   170   288   152  3.4210  0.9377
   169   290   151  3.4110  0.9348
   172   289   152  3.3716  0.9188
   169   288   152  3.3711  0.9186
   171   289   152  3.3653  0.9163
   173   289   152  3.3495  0.9103
   170   289   152  3.3308  0.9032
   169   289   152  3.2671  0.8792
   172   290   152  3.2627  0.8775
   171   290   152  3.2470  0.8717
   173   290   152  3.2459  0.8713
   170   290   152  3.1991  0.8539
   172   287   148  3.1563  0.8415
   171   287   148  3.1521  0.8399
   172   288   148  3.1436  0.8368
   172   286   148  3.1411  0.8359
   171   286   148  3.1369  0.8343
   171   288   148  3.1362  0.8341
   173   287   148  3.1331  0.8330
   170   287   148  3.1216  0.8287
   173   288   148  3.1208  0.8284
   173   286   148  3.1205  0.8283
   169   290   152  3.1186  0.8244
   170   286   148  3.1088  0.8240
   172   289   148  3.1014  0.8214
   170   288   148  3.1004  0.8210
   171   289   148  3.0877  0.8164
   173   289   148  3.0821  0.8144
   169   287   148  3.0644  0.8079
   169   286   148  3.0555  0.8047
   170   289   148  3.0435  0.8004
   169   288   148  3.0362  0.7978
   172   290   148  3.0273  0.7946
   173   290   148  3.0146  0.7900
   171   290   148  3.0048  0.7865
   168   286   149  3.8734  1.1241
   168   287   149  3.8566  1.1170
   170   285   149  3.8490  1.1138
   169   285   149  3.8462  1.1126
   171   285   149  3.8414  1.1106
   168   285   149  3.8301  1.1058
   172   285   149  3.8227  1.1027
   170   285   150  3.8187  1.0999
   168   287   150  3.8163  1.0988
   171   285   150  3.8088  1.0957
   168   286   150  3.8027  1.0932
   169   285   150  3.7970  1.0908
   174   288   150  3.7928  1.0890
   173   285   149  3.7882  1.0883
   174   289   150  3.7819  1.0845
   168   288   149  3.7786  1.0843
   168   288   150  3.7758  1.0820
   172   285   150  3.7692  1.0792
   174   287   149  3.7690  1.0803
   174   286   149  3.7659  1.0790
   174   287   150  3.7625  1.0764
   174   288   149  3.7412  1.0687
   168   285   150  3.7400  1.0671
   174   285   149  3.7296  1.0640
   174   290   150  3.7261  1.0614
   173   285   150  3.6983  1.0500
   174   286   150  3.6941  1.0483
   174   289   149  3.6813  1.0442
   172   291   150  3.6809  1.0429
   173   291   150  3.6788  1.0421
   168   289   150  3.6777  1.0416
   168   289   149  3.6393  1.0271
   171   291   150  3.6383  1.0256
   174   291   150  3.6211  1.0186
   174   285   150  3.5908  1.0065
   174   290   149  3.5846  1.0051
   170   291   150  3.5590  0.9938
   168   290   150  3.5209  0.9787
   172   287   147  3.5128  0.9785
   172   285   152  3.5043  0.9702
   171   285   152  3.5015  0.9691
   172   288   147  3.4986  0.9729
   171   287   147  3.4954  0.9717
   173   287   147  3.4944  0.9713
   168   287   151  3.4932  0.9668
   172   286   147  3.4932  0.9708
   173   285   152  3.4914  0.9651
   173   291   149  3.4861  0.9660
   170   285   152  3.4854  0.9628
   171   288   147  3.4843  0.9673
   172   291   149  3.4840  0.9652
   168   288   151  3.4814  0.9622
   173   286   147  3.4808  0.9659
   173   288   147  3.4750  0.9636
   171   286   147  3.4716  0.9623
   170   285   151  3.4637  0.9552
   174   288   151  3.4622  0.9546
   168   286   151  3.4607  0.9541
   171   285   151  3.4605  0.9540
   174   285   152  3.4592  0.9525
   174   286   152  3.4562  0.9514
   169   285   152  3.4559  0.9512
   174   289   151  3.4518  0.9506
   169   291   150  3.4480  0.9501
   170   287   147  3.4469  0.9526
   171   291   149  3.4466  0.9505
   172   289   147  3.4463  0.9524
