#   X     Y     Z      S       D
   415   191   335  3.4962  1.2372
   414   191   335  3.4960  1.2372
   415   192   335  3.4960  1.2371
   414   192   335  3.4918  1.2349
   414   190   335  3.4753  1.2261
   416   192   335  3.4735  1.2251
   415   190   335  3.4721  1.2244
   416   191   335  3.4704  1.2235
   416   190   335  3.4444  1.2098
   414   190   336  3.3519  1.1647
   414   191   336  3.3321  1.1545
   415   190   336  3.2913  1.1335
   414   192   336  3.2840  1.1298
   415   191   336  3.2762  1.1259
   415   192   336  3.2338  1.1044
   416   190   336  3.2214  1.0982
   416   191   336  3.2108  1.0928
   416   192   336  3.1738  1.0744
   415   193   335  3.4722  1.2244
   413   191   335  3.4686  1.2225
   414   193   335  3.4637  1.2200
   413   192   335  3.4603  1.2182
   416   193   335  3.4540  1.2148
   413   190   335  3.4519  1.2137
   414   189   335  3.4295  1.2019
   413   193   335  3.4286  1.2014
   417   192   335  3.4265  1.2003
   415   189   335  3.4240  1.1990
   417   191   335  3.4216  1.1978
   417   193   335  3.4107  1.1920
   413   189   335  3.4097  1.1915
   413   190   336  3.4005  1.1900
   416   189   335  3.3955  1.1841
   417   190   335  3.3953  1.1840
   413   189   336  3.3915  1.1853
   413   191   336  3.3763  1.1773
   417   189   335  3.3475  1.1592
   414   189   336  3.3403  1.1587
   413   192   336  3.3228  1.1497
   415   189   336  3.2768  1.1262
   413   193   336  3.2450  1.1100
   414   193   336  3.2116  1.0932
   416   189   336  3.2044  1.0896
   415   193   336  3.1672  1.0711
   417   190   336  3.1449  1.0601
   417   191   336  3.1379  1.0566
   413   191   337  3.1376  1.0593
   413   192   337  3.1312  1.0562
   417   189   336  3.1260  1.0508
   413   190   337  3.1197  1.0505
   414   192   337  3.1169  1.0491
   414   191   337  3.1168  1.0491
   416   193   336  3.1130  1.0444
   417   192   336  3.1055  1.0408
   413   193   337  3.0967  1.0393
   414   190   337  3.0940  1.0379
   414   193   337  3.0898  1.0359
   415   192   337  3.0881  1.0350
   415   191   337  3.0827  1.0324
   413   189   337  3.0816  1.0319
   415   193   337  3.0672  1.0249
   415   190   337  3.0559  1.0194
   414   189   337  3.0530  1.0180
   417   193   336  3.0499  1.0138
   416   192   337  3.0449  1.0141
   416   191   337  3.0355  1.0096
   416   193   337  3.0289  1.0064
   415   189   337  3.0125  0.9985
   416   190   337  3.0058  0.9953
   417   192   337  2.9878  0.9867
   417   191   337  2.9756  0.9809
   417   193   337  2.9752  0.9807
   416   189   337  2.9606  0.9738
   417   190   337  2.9440  0.9660
   417   189   337  2.8980  0.9444
   415   190   338  3.4855  1.2418
   414   190   338  3.4787  1.2382
   415   191   338  3.4766  1.2370
   414   191   338  3.4652  1.2309
   416   190   338  3.4649  1.2307
   415   189   338  3.4645  1.2305
   414   189   338  3.4616  1.2290
   416   191   338  3.4599  1.2281
   416   189   338  3.4407  1.2178
   413   190   338  3.4400  1.2174
   415   192   338  3.4395  1.2172
