#   X     Y     Z      S       D
   174   284   259  6.2032  2.5043
   174   283   259  6.1831  2.4899
   173   284   259  6.1806  2.4881
   174   285   259  6.1615  2.4744
   174   284   260  6.1602  2.4800
   173   283   259  6.1549  2.4697
   175   284   259  6.1523  2.4679
   174   285   260  6.1451  2.4692
   173   285   259  6.1444  2.4622
   175   283   259  6.1390  2.4584
   173   284   260  6.1374  2.4637
   173   285   260  6.1221  2.4528
   175   284   260  6.1163  2.4486
   174   283   260  6.1145  2.4473
   175   285   259  6.1063  2.4352
   175   285   260  6.1004  2.4374
   173   283   260  6.0921  2.4315
   175   283   260  6.0725  2.4177
   174   283   258  5.6127  2.0983
   173   283   258  5.5911  2.0846
   174   284   258  5.5869  2.0819
   173   284   258  5.5707  2.0717
   175   283   258  5.5669  2.0693
   175   284   258  5.5321  2.0474
   174   285   258  5.5249  2.0429
   173   285   258  5.5152  2.0369
   175   285   258  5.4620  2.0038
   174   282   259  6.1133  2.4402
   173   282   259  6.0801  2.4167
   172   284   259  6.0772  2.4147
   175   282   259  6.0769  2.4145
   174   286   260  6.0685  2.4149
   174   284   261  6.0600  2.4152
   173   284   261  6.0579  2.4137
   174   286   259  6.0540  2.3985
   173   285   261  6.0500  2.4082
   174   285   261  6.0479  2.4067
   172   283   259  6.0479  2.3942
   172   285   259  6.0470  2.3935
   173   286   260  6.0444  2.3979
   172   284   260  6.0423  2.3965
   173   286   259  6.0413  2.3896
   176   284   259  6.0402  2.3888
   176   283   259  6.0338  2.3843
   174   283   261  6.0271  2.3921
   172   285   260  6.0257  2.3849
   175   286   260  6.0251  2.3844
   173   283   261  6.0212  2.3880
   174   282   260  6.0171  2.3788
   176   284   260  6.0126  2.3757
   175   284   261  6.0015  2.3742
   172   283   260  6.0001  2.3670
   175   286   259  5.9979  2.3594
   173   282   260  5.9963  2.3644
   176   285   260  5.9946  2.3633
   173   286   261  5.9933  2.3685
   172   284   261  5.9926  2.3681
   176   285   259  5.9912  2.3548
   174   286   261  5.9876  2.3646
   172   285   261  5.9869  2.3641
   175   285   261  5.9828  2.3613
   176   282   259  5.9809  2.3477
   175   282   260  5.9771  2.3512
   175   283   261  5.9755  2.3562
   176   283   260  5.9730  2.3483
   172   282   259  5.9720  2.3416
   174   282   261  5.9568  2.3433
   172   283   261  5.9551  2.3421
   172   286   259  5.9515  2.3275
   173   282   261  5.9485  2.3375
   172   286   260  5.9473  2.3306
   172   286   261  5.9327  2.3267
   176   286   260  5.9201  2.3120
   175   286   261  5.9176  2.3163
   175   282   261  5.9116  2.3122
   172   282   260  5.9098  2.3050
   176   284   261  5.8869  2.2954
   176   286   259  5.8844  2.2819
   172   282   261  5.8833  2.2930
   176   282   260  5.8828  2.2866
   176   283   261  5.8712  2.2847
   176   285   261  5.8591  2.2765
   176   282   261  5.8174  2.2485
   176   286   261  5.7870  2.2281
   174   282   258  5.6117  2.0977
   173   282   258  5.5861  2.0814
   175   282   258  5.5751  2.0745
   172   283   258  5.4991  2.0269
   172   282   258  5.4956  2.0247
   176   282   258  5.4827  2.0167
   172   284   258  5.4803  2.0152
   176   283   258  5.4609  2.0032
   172   285   258  5.4294  1.9838
   174   286   258  5.4233  1.9801
   173   286   258  5.4205  1.9783
   176   284   258  5.4142  1.9745
   175   286   258  5.3539  1.9379
   172   286   258  5.3419  1.9306
   176   285   258  5.3347  1.9264
   176   286   258  5.2207  1.8586
   174   281   259  6.0090  2.3671
   175   281   259  5.9801  2.3472
   173   281   259  5.9720  2.3416
   174   287   260  5.9383  2.3244
   173   287   260  5.9113  2.3060
   175   287   260  5.8986  2.2974
   171   284   259  5.8943  2.2886
   176   281   259  5.8938  2.2883
   173   287   261  5.8890  2.2968
   174   287   259  5.8867  2.2834
   174   281   260  5.8836  2.2872
   174   287   261  5.8816  2.2918
   177   283   259  5.8794  2.2785
   177   284   259  5.8791  2.2783
   173   287   259  5.8765  2.2766
   171   284   260  5.8735  2.2804
   171   285   259  5.8695  2.2719
   173   281   260  5.8662  2.2754
   171   284   261  5.8655  2.2809
   172   281   259  5.8653  2.2690
   171   283   259  5.8643  2.2684
   171   285   261  5.8602  2.2773
   174   281   261  5.8592  2.2766
   177   284   260  5.8548  2.2678
   171   285   260  5.8544  2.2675
   173   281   261  5.8500  2.2704
   175   281   260  5.8448  2.2610
   171   283   260  5.8371  2.2559
   177   282   259  5.8360  2.2494
   177   285   260  5.8335  2.2534
   175   287   259  5.8332  2.2475
   172   287   261  5.8304  2.2572
   171   283   261  5.8297  2.2567
   177   285   259  5.8277  2.2439
   177   283   260  5.8215  2.2454
   175   281   261  5.8190  2.2495
   172   287   260  5.8133  2.2399
   175   287   261  5.8091  2.2429
   171   286   261  5.8080  2.2421
   176   287   260  5.7973  2.2293
   172   287   259  5.7948  2.2220
   171   282   259  5.7921  2.2202
   172   281   260  5.7879  2.2230
   172   281   261  5.7877  2.2286
   171   286   259  5.7837  2.2146
   171   286   260  5.7761  2.2152
   171   282   261  5.7620  2.2115
   177   281   259  5.7594  2.1986
   177   286   260  5.7588  2.2037
   171   282   260  5.7565  2.2022
   176   281   260  5.7559  2.2019
   177   282   260  5.7397  2.1911
   176   281   261  5.7343  2.1932
   176   287   259  5.7262  2.1768
   177   286   259  5.7243  2.1755
   177   284   261  5.7209  2.1844
   177   283   261  5.7185  2.1828
   171   287   261  5.7080  2.1759
   171   281   259  5.6924  2.1548
   177   285   261  5.6815  2.1586
   177   282   261  5.6788  2.1568
   174   284   262  5.6788  2.1624
   176   287   261  5.6749  2.1543
   171   281   261  5.6725  2.1528
   174   283   262  5.6679  2.1553
   173   284   262  5.6677  2.1552
   174   285   262  5.6618  2.1513
   173   285   262  5.6572  2.1484
   173   283   262  5.6509  2.1442
   171   281   260  5.6475  2.1311
   171   287   260  5.6435  2.1285
   171   287   259  5.6397  2.1208
   177   287   260  5.6389  2.1255
   174   282   262  5.6376  2.1356
   175   284   262  5.6345  2.1336
   175   283   262  5.6307  2.1312
   177   281   260  5.6224  2.1150
   173   282   262  5.6162  2.1217
   173   286   262  5.6123  2.1192
   174   286   262  5.6110  2.1184
   175   285   262  5.6110  2.1184
   177   281   261  5.6096  2.1121
   175   282   262  5.6068  2.1157
   177   286   261  5.6007  2.1064
   172   284   262  5.5959  2.1087
   174   281   258  5.5959  2.0876
   174   281   262  5.5957  2.1086
   172   285   262  5.5912  2.1057
   172   283   262  5.5751  2.0954
   177   287   259  5.5745  2.0792
   173   281   262  5.5719  2.0933
   175   281   262  5.5696  2.0918
   175   281   258  5.5683  2.0702
   173   281   258  5.5676  2.0697
   175   286   262  5.5559  2.0831
   172   286   262  5.5528  2.0811
   176   283   262  5.5471  2.0775
   176   284   262  5.5436  2.0753
   172   282   262  5.5387  2.0721
   173   287   262  5.5306  2.0670
   176   282   262  5.5306  2.0670
   174   287   262  5.5255  2.0638
