#   X     Y     Z      S       D
   217   256   287  3.6960  1.1692
   217   255   287  3.6929  1.1677
   218   256   287  3.6867  1.1649
   218   255   287  3.6818  1.1625
   217   257   287  3.6724  1.1582
   218   257   287  3.6628  1.1537
   216   256   287  3.6578  1.1514
   216   255   287  3.6572  1.1511
   216   257   287  3.6340  1.1403
   217   257   286  3.5824  1.1136
   216   257   286  3.5714  1.1085
   217   256   286  3.5519  1.0997
   218   257   286  3.5489  1.0983
   216   256   286  3.5383  1.0935
   218   256   286  3.5199  1.0852
   217   254   287  3.6622  1.1534
   218   254   287  3.6471  1.1464
   219   256   287  3.6320  1.1394
   216   254   287  3.6310  1.1389
   219   255   287  3.6260  1.1366
   217   258   287  3.6220  1.1348
   218   258   287  3.6102  1.1293
   219   257   287  3.6071  1.1279
   219   254   287  3.5881  1.1192
   216   258   287  3.5854  1.1179
   217   258   286  3.5848  1.1146
   215   255   287  3.5750  1.1132
   216   258   286  3.5748  1.1101
   215   256   287  3.5728  1.1122
   215   254   287  3.5533  1.1033
   219   258   287  3.5520  1.1027
   218   258   286  3.5515  1.0995
   215   257   287  3.5482  1.1010
   215   258   286  3.5141  1.0826
   215   257   286  3.5087  1.0802
   215   258   287  3.5010  1.0796
   217   253   287  3.6018  1.1255
   218   253   287  3.5813  1.1161
   216   253   287  3.5763  1.1138
   217   259   286  3.5567  1.1019
   216   259   286  3.5452  1.0967
   217   259   287  3.5442  1.0992
   220   256   287  3.5355  1.0952
   220   255   287  3.5294  1.0924
   218   259   287  3.5293  1.0924
   218   259   286  3.5263  1.0881
   219   253   287  3.5179  1.0873
   216   259   287  3.5110  1.0842
   220   257   287  3.5091  1.0833
   215   253   287  3.5046  1.0813
   217   252   287  3.5093  1.0834
